t,h_t,e,d
1593521465,2020-06-30 15:51:05,29.95,26.6922
1593595487,2020-07-01 12:24:47,29.8677,26.6676
1593603789,2020-07-01 14:43:09,29.8677,26.6676
1593605336,2020-07-01 15:08:56,29.8677,26.6676
1593610334,2020-07-01 16:32:14,29.8677,26.6676
1593612011,2020-07-01 17:00:11,29.8677,26.6676
1593616413,2020-07-01 18:13:33,29.8677,26.6676
1593673436,2020-07-02 10:03:56,29.9971,26.77
1593764239,2020-07-03 11:17:19,30.6592,27.1801
1594023135,2020-07-06 11:12:15,30.5069,27.1716
1594048000,2020-07-06 18:06:40,30.5069,27.1716
1595173348,2020-07-19 18:42:28,31.129,27.2738
1595173505,2020-07-19 18:45:05,31.129,27.2738
1595232614,2020-07-20 11:10:14,31.2554,27.3606
1595319414,2020-07-21 11:16:54,31.5908,27.6011
1595341889,2020-07-21 17:31:29,31.5908,27.6011
1595360548,2020-07-21 22:42:28,31.5908,27.6011
1595363338,2020-07-21 23:28:58,31.5908,27.6011
1595411893,2020-07-22 12:58:13,31.6719,27.6647
1595407911,2020-07-22 11:51:51,31.6719,27.6647
1595417344,2020-07-22 14:29:04,31.6719,27.6647
1595431751,2020-07-22 18:29:11,31.6719,27.6647
1595492958,2020-07-23 11:29:18,32.1898,27.7798
1595513499.763555,2020-07-23 17:11:39.763552,32.1898,27.7798
1595516402.3165038,2020-07-23 18:00:02.316494,32.1898,27.7798
1595577603.6601105,2020-07-24 11:00:03.660079,32.2366,27.8779
1595577671.1071434,2020-07-24 11:01:11.107116,32.2366,27.8779
1595577737.404377,2020-07-24 11:02:17.404350,32.2366,27.8779
1595577804.4703574,2020-07-24 11:03:24.470331,32.2366,27.8779
1595577870.714461,2020-07-24 11:04:30.714432,32.2366,27.8779
1595577938.812071,2020-07-24 11:05:38.812045,32.2366,27.8779
1595578005.9998772,2020-07-24 11:06:45.999849,32.2366,27.8779
1595578071.7339344,2020-07-24 11:07:51.733905,32.2366,27.8779
1595578137.697047,2020-07-24 11:08:57.697019,32.2366,27.8779
1595578204.1086106,2020-07-24 11:10:04.108581,32.2366,27.8779
1595578270.9962928,2020-07-24 11:11:10.996264,32.2366,27.8779
1595578336.7705185,2020-07-24 11:12:16.770492,32.2366,27.8779
